Ref,Val,Package,PosX,PosY,Rot,Side
"SW2","SW_SPST","SW_SPST_TL3342",129.717800,67.640200,90.000000,bottom
"C1","22pf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",112.786000,57.038250,0.000000,top
"C2","22pf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",106.436000,57.038250,180.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",82.348000,77.414250,90.000000,top
"C4","4.7uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",85.396000,77.414250,90.000000,top
"C5","100nf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",100.584000,73.706250,180.000000,top
"C6","100nf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.992000,78.374250,0.000000,top
"C7","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",98.856800,63.271400,180.000000,top
"C8","100nf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.200000,59.506250,180.000000,top
"C9","100nf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",120.000000,63.506250,0.000000,top
"C10","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",100.380800,66.167000,180.000000,top
"C11","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",83.185000,47.879000,-90.000000,top
"C12","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.952000,47.913750,-90.000000,top
"C13","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",80.264000,49.758600,180.000000,top
"C14","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",77.317600,48.539400,-90.000000,top
"R1","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",76.911200,75.996800,-90.000000,top
"R2","20","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",81.813400,58.089800,180.000000,top
"R3","22","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",99.884000,70.893250,180.000000,top
"R4","22","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",99.887500,68.591250,180.000000,top
"R6","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",115.580000,79.898250,-135.000000,top
"R7","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.716800,71.424800,180.000000,top
"R8","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",117.983000,76.657200,-135.000000,top
"R9","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.081800,75.438000,180.000000,top
"R11","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",89.968000,78.974750,90.000000,top
"R12","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.916000,85.305750,-90.000000,top
"R13","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.028000,85.342250,-90.000000,top
"R14","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.000000,51.706250,0.000000,top
"R15","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.236000,86.558250,-90.000000,top
"R20","20K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",80.213200,51.739800,0.000000,top
"R21","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.588000,47.986750,90.000000,top
"R22","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",50.344000,85.305750,90.000000,top
"R23","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",58.472000,85.305750,90.000000,top
"R24","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",100.128000,47.950250,90.000000,top
"R25","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",65.584000,85.305750,90.000000,top
"R26","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.930000,75.996800,90.000000,top
"R30","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",116.572416,78.040616,-135.000000,top
"R31","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.081800,73.406000,0.000000,top
"R33","33K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.234800,48.514000,90.000000,top
"R40","20","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",81.661000,60.096400,180.000000,top
"SW1","SW_SPST","SW_SPST_TL3342",129.717800,69.900800,-90.000000,top
"U2","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",109.992000,67.737250,0.000000,top
"U4","TPS73601DBV","SOT-23-5",76.352400,52.247800,0.000000,top
"U5","SN74LVC1T45DBV","SOT-23-6",89.968000,53.538250,180.000000,top
"U7","SN74LVC1T45DBV","SOT-23-6",88.952000,58.618250,180.000000,top
"U8","SN74LVC1T45DBV","SOT-23-6",89.593999,64.926249,90.000000,top
"U9","SN74LVC1T45DBV","SOT-23-6",76.760000,56.586250,90.000000,top
