"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R40,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"20";;;
2;"C14,C7,C12,C10";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"1uF";;;
3;"U4";"SOT-23-5";1;"RT9179GB";;;
4;"R33";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"33K";;;
5;"R20";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"20K";;;
6;"SW2,SW1";"SW_SPST_TL3342";2;"SW_SPST";;;
7;"C3";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100nF";;;
8;"C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4.7uF";;;
9;"C6,C5,C8,C9";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"100nf";;;
10;"C11";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"0.1uF";;;
11;"C1,C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22pf";;;
12;"R22,R15,R14,R13,R12,R11,R7,R26,R30,R21,R23,R24,R25,R8,R9,R1,R31";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";17;"4.7K";;;
13;"R3,R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22";;;
14;"R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1K";;;
15;"J6,J4,J3";"PinHeader_1x01_P2.54mm_Vertical";3;"Conn_01x01";;;
16;"J7,J8,J9";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02_Female";;;
17;"U2";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-AU";;;
18;"Y1";"Crystal_HC49-U_Vertical";1;"16 Mhz Crystal";;;
19;"D1";"LED_D3.0mm";1;"LED";;;
20;"U5,U7,U8,U9";"SOT-23-6";4;"SN74LVC1T45DBV";;;
21;"SWF1,SWB1,SWR1,SWM1,SWL1";"Microswitch_SPDT_D2F";5;"SW_SPDT";;;
22;"U1";"PMW3360";1;"PMW3360DM-T2QU";;;
23;"J2";"ALPS_horzontal_encoder";1;"Conn_01x05_Female";;;
24;"J1";"JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical";1;"Conn_01x05_Female";;;
