"Comment","Designator","Footprint","LCSC Part #"
"22pf","C2,C1","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1804"
"100nF","C3","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C49678"
"4.7uF","C4","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1779"
"100nf","C9,C8,C5,C6","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C49678"
"1uF","C10,C7,C14","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C28323"
"0.1uF","C11,C13","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C49678"
"10uF","C12","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C15850"
"20","R2,R40","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17544"
"22","R3,R4","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17561"
"1K","R6","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17673"
"4.7K","R11,R12,R13,R14,R15,R21,R22,R23,R24,R25,R8,R9,R1,R7,R26,R30,R31","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17673"
"20K","R20","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C4328"
"33K","R33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17633"
"ATmega32U4-AU","U2","TQFP-44_10x10mm_P0.8mm","C44854"
"TPS73601DBV","U4","SOT-23-5","C59200"
"SN74LVC1T45DBV","U5,U7,U8,U9","SOT-23-6","C7843"
